StatType,Knowlton Hall - Steam Consumption (kBTU),Knowlton Hall - Electricity Consumption (kBTU),Knowlton Hall - Chilled Water Consumption (kBTU),Knowlton Hall - Hot Water Consumption (kBTU),Knowlton Hall - Total Energy Consumption (Cleaned) (kBTU),Knowlton Hall - Natural Gas Consumption (kBTU),North Recreation Center - Steam Consumption (kBTU),North Recreation Center - Electricity Consumption (kBTU),North Recreation Center - Chilled Water Consumption (kBTU),North Recreation Center - Hot Water Consumption (kBTU),North Recreation Center - Total Energy Consumption (Cleaned) (kBTU),North Recreation Center - Natural Gas Consumption (kBTU),Denney Hall - Steam Consumption (kBTU),Denney Hall - Electricity Consumption (kBTU),Denney Hall - Chilled Water Consumption (kBTU),Denney Hall - Hot Water Consumption (kBTU),Denney Hall - Total Energy Consumption (Cleaned) (kBTU),Denney Hall - Natural Gas Consumption (kBTU),Thompson Library - Steam Consumption (kBTU),Thompson Library - Electricity Consumption (kBTU),Thompson Library - Chilled Water Consumption (kBTU),Thompson Library - Hot Water Consumption (kBTU),Thompson Library - Total Energy Consumption (Cleaned) (kBTU),Thompson Library - Natural Gas Consumption (kBTU),Enarson Building - Steam Consumption (kBTU),Enarson Building - Electricity Consumption (kBTU),Enarson Building - Chilled Water Consumption (kBTU),Enarson Building - Hot Water Consumption (kBTU),Enarson Building - Total Energy Consumption (Cleaned) (kBTU),Enarson Building - Natural Gas Consumption (kBTU)
Mean (2017-2022),0.089749337,7.75821762,9.581320528,0,15.06711563,5.32E-05,0,6.017298271,15.00203595,5.059678101,21.6067633,0,0,4.435978983,0,7.852940688,11.35228398,0,14.08193449,4.438654968,9.698615392,0,18.68958899,1.47E-05,3.507378845,6.788843648,4.679549353,0,17.84074563,0
2018,0.453574016,6.377069861,7.733680964,0,11.21268846,0,0,8.84261165,9.596853117,4.490120547,16.02335677,0,0,4.009892119,0,6.286765748,9.421897154,0,0,2.811074425,3.024892768,0,3.659494691,0,0,5.227627279,4.245699418,0,8.993125004,0
2019,0.0045224,6.026947889,4.603356912,0,10.63482669,0,0,4.944510879,9.196535917,7.559230793,21.70027759,0,0,3.860347404,0,6.193938333,10.05428574,0,46.87452856,4.051190014,11.61730502,0,28.83574213,1.50E-05,8.755946566,4.90081659,2.805994252,0,13.0511854,0
2020,0.011661565,14.5289023,17.18821667,0,31.72879504,1.45E-05,0,7.83649607,15.97687519,15.08771534,38.9010866,0,0,5.404528785,0,11.28028071,16.6848095,0,15.59225742,6.540919028,16.82670631,0,38.95989481,1.21E-05,6.270005266,9.659274284,4.155715646,0,28.71856443,0
2021,0.008279094,8.770212637,15.37913269,0,24.15763377,9.35E-06,0,6.77424863,26.79134266,3.511136124,37.07672742,0,0,5.408107418,0,10.29327669,15.70138411,0,12.01404756,4.794976364,8.898210779,0,25.70727454,3.98E-05,3.039230484,9.686550958,8.443068033,0,27.63208243,0
2022,0.004566209,4.891457604,8.389406063,0,13.28557836,0.000148484,0,3.83619791,16.7681629,1.798195056,22.40255587,0,0,3.604125549,0,5.826803178,9.430928727,0,8.29835693,3.240676709,6.792435698,0,18.33146976,4.20E-07,1.59041168,6.182103394,5.140028835,0,16.14128084,0
