Series Name,Busch House - Steam Consumption (kBTU),Busch House - Electricity Consumption (kBTU),Busch House - Chilled Water Consumption (kBTU),Busch House - Hot Water Consumption (kBTU),Busch House - Total Energy Consumption (Cleaned) (kBTU),Busch House - Natural Gas Consumption (kBTU),Taylor Tower - Steam Consumption (kBTU),Taylor Tower - Electricity Consumption (kBTU),Taylor Tower - Chilled Water Consumption (kBTU),Taylor Tower - Hot Water Consumption (kBTU),Taylor Tower - Total Energy Consumption (Cleaned) (kBTU),Taylor Tower - Natural Gas Consumption (kBTU),Smith-Steeb Hall - Steam Consumption (kBTU),Smith-Steeb Hall - Electricity Consumption (kBTU),Smith-Steeb Hall - Chilled Water Consumption (kBTU),Smith-Steeb Hall - Hot Water Consumption (kBTU),Smith-Steeb Hall - Total Energy Consumption (Cleaned) (kBTU),Smith-Steeb Hall - Natural Gas Consumption (kBTU),Baker Hall - Steam Consumption (kBTU),Baker Hall - Electricity Consumption (kBTU),Baker Hall - Chilled Water Consumption (kBTU),Baker Hall - Hot Water Consumption (kBTU),Baker Hall - Total Energy Consumption (Cleaned) (kBTU),Baker Hall - Natural Gas Consumption (kBTU),"Morrill, Justin S, Tower - Steam Consumption (kBTU)","Morrill, Justin S, Tower - Electricity Consumption (kBTU)","Morrill, Justin S, Tower - Chilled Water Consumption (kBTU)","Morrill, Justin S, Tower - Hot Water Consumption (kBTU)","Morrill, Justin S, Tower - Total Energy Consumption (Cleaned) (kBTU)","Morrill, Justin S, Tower - Natural Gas Consumption (kBTU)",Busch House - Occupancy (DEV),Taylor Tower - Occupancy (DEV),Smith-Steeb Hall - Occupancy (DEV),Baker Hall - Occupancy (DEV),"Morrill, Justin S, Tower - Occupancy (DEV)"
1-Jan,,316.3146663,75.52203887,694.1196237,1085.956329,,,651.509063,,,2696.744547,2045.235484,511.3975881,774.2130726,90.07478298,2398.330416,3774.01586,,,398.135178,0.013104839,167.5059761,565.654259,,1839.167708,1234.616326,,,3091.514353,17.73031958,726.4977778,892.3988095,1494.253353,471.1666667,1483.115556
2-Feb,,362.4348113,89.97571611,543.772426,996.1829534,,,700.2039985,,,2483.130388,1782.92639,627.6414307,860.1045249,94.7295422,2048.260203,3630.735701,,,449.4257001,0.014751998,1544.774864,1994.215316,,1588.878709,1322.859142,,,2978.451909,66.71405749,1010.316163,1230.914894,1956.296099,674.3368794,1968.132979
3-Mar,,308.5694764,169.7217136,324.2247309,802.5159209,,,656.0779951,,,1500.001861,843.9238656,483.4836845,772.9501332,110.8737049,1700.34708,3067.654603,,,377.5059195,10.42047118,1146.973525,1534.899915,,534.8204483,1230.198324,,,1801.987972,36.96920003,752.6070826,925.2124789,1460.278246,509.2091062,1593.220911
4-Apr,,327.2318271,295.8423165,239.0062509,862.0803945,,,825.0997593,,,1547.938451,722.8386916,589.9594732,845.7275152,240.7952608,1270.654459,2947.136708,,,435.363751,33.29347492,862.3688519,1331.026078,,383.0810656,1407.351164,,,1853.236102,62.80387282,966.5218703,1159.996983,1947.036199,663.4766214,1800.710645
5-May,,197.0648015,495.2814732,134.4342288,826.7805034,,,916.3972754,,,1459.788425,543.3911492,266.35098,592.101858,486.9062862,1307.132299,2652.491423,,,210.3474088,142.794349,322.165362,675.3071197,,124.7782604,1141.528165,,,1280.655923,14.34949719,59.31404959,156.3484848,124.1294766,42.1707989,133.7782369
6-Jun,,203.7030991,735.478635,101.0850433,1040.266777,,,1048.097793,,,2049.899436,1001.801642,247.7373115,607.7620181,851.1009671,1505.118723,3211.71902,,,189.53866,208.8135191,322.1493635,720.5015427,,95.97358418,1120.312505,,,1218.881946,2.595856042,20.66479663,102.141655,20.94950912,6.199158485,24.35203366
7-Jul,,201.2225904,972.4759382,269.9738882,1443.672417,,,1172.844873,,,2114.953305,942.1084328,260.9212771,654.9561405,847.2212181,1768.052865,3531.151501,,,181.3189524,245.3136561,312.8617851,739.4943936,,123.112996,1137.302553,,,1263.115222,2.699672515,8.745945946,84.96351351,20.89054054,4.848648649,22.60540541
8-Aug,,255.3011366,1163.966054,346.0814322,1765.348623,,,1289.873793,,,2266.44483,976.571037,375.4366906,783.1982005,1128.439789,2139.864494,4426.939174,,,348.0870803,294.1692263,492.4830275,1134.739334,,165.8720192,1382.308355,,,1582.165792,33.98541768,418.7092391,484.3125,832.3668478,217.0597826,872.4375
9-Sep,,321.318426,914.7643823,191.7822625,1427.865071,,,1322.061969,,,2291.204809,969.1428403,509.9472475,897.4898478,1037.646213,1837.280164,4282.363472,,,513.9282071,145.4031146,341.3784655,1000.709787,,223.2008588,1502.174134,,,1803.016602,1003.881944,1216.427778,2040.833333,612.9097222,2072.147222,2072.147222
