Stat Type,Busch House - Steam Consumption (kBTU),Busch House - Electricity Consumption (kBTU),Busch House - Chilled Water Consumption (kBTU),Busch House - Hot Water Consumption (kBTU),Busch House - Total Energy Consumption (Cleaned) (kBTU),Busch House - Natural Gas Consumption (kBTU),Taylor Tower - Steam Consumption (kBTU),Taylor Tower - Electricity Consumption (kBTU),Taylor Tower - Chilled Water Consumption (kBTU),Taylor Tower - Hot Water Consumption (kBTU),Taylor Tower - Total Energy Consumption (Cleaned) (kBTU),Taylor Tower - Natural Gas Consumption (kBTU),Smith-Steeb Hall - Steam Consumption (kBTU),Smith-Steeb Hall - Electricity Consumption (kBTU),Smith-Steeb Hall - Chilled Water Consumption (kBTU),Smith-Steeb Hall - Hot Water Consumption (kBTU),Smith-Steeb Hall - Total Energy Consumption (Cleaned) (kBTU),Smith-Steeb Hall - Natural Gas Consumption (kBTU),Baker Hall - Steam Consumption (kBTU),Baker Hall - Electricity Consumption (kBTU),Baker Hall - Chilled Water Consumption (kBTU),Baker Hall - Hot Water Consumption (kBTU),Baker Hall - Total Energy Consumption (Cleaned) (kBTU),Baker Hall - Natural Gas Consumption (kBTU),"Morrill, Justin S, Tower - Steam Consumption (kBTU)","Morrill, Justin S, Tower - Electricity Consumption (kBTU)","Morrill, Justin S, Tower - Chilled Water Consumption (kBTU)","Morrill, Justin S, Tower - Hot Water Consumption (kBTU)","Morrill, Justin S, Tower - Total Energy Consumption (Cleaned) (kBTU)","Morrill, Justin S, Tower - Natural Gas Consumption (kBTU)",Busch House - Occupancy (DEV),Taylor Tower - Occupancy (DEV),Smith-Steeb Hall - Occupancy (DEV),Baker Hall - Occupancy (DEV),"Morrill, Justin S, Tower - Occupancy (DEV)",,,,,
Mean (2017-2022),,270.3949873,452.2766233,308.1400954,895.9837605,,,870.0996664,,,1513.5117,760.1326403,426.8170407,796.7676901,488.9504198,932.8043525,2499.578751,,,336.6794041,98.75340812,150.2577057,564.191857,,553.1993563,1180.726213,,,1461.237746,8.332224333,459.6309552,567.6199729,943.3018561,526.1171204,985.3722259,,,,,
2017,,290.228479,,288.8075523,579.0360312,,,#DIV/0!,,,,,483.8209533,835.1203206,#DIV/0!,387.078241,1706.019515,,,,,,,,,,,,,,,,,,,,,,,
2018,,288.0660477,276.6346435,361.4722649,727.0970665,,,751.0569463,,,751.0569463,,598.1858447,845.0256645,287.786645,428.0952055,1951.992103,,,,,,,,110.3675345,,,,110.3675345,,414.586451,485.6344793,508.0263959,323.189759,1172.762892,,,,,
2019,,260.3218823,494.7455515,321.5608447,1076.628279,,,866.3140639,,,1244.614555,535.9715843,440.0350236,826.4630888,506.4851598,604.909589,2377.892861,,,348.3279894,114.6117987,0,448.5759532,,950.0042241,1078.336958,,,1543.951296,0.000120089,428.9302271,545.6014193,902.3614429,622.8106865,1193.970908,,,,,
2020,,233.5321623,370.1333231,279.9845965,883.650082,,,798.970452,,,1618.908133,819.9376814,369.7064444,719.0970417,454.5030307,1055.707753,2599.01427,,,307.2376984,85.5477681,1.12407E-06,392.7854676,,474.1164659,1144.845988,,,1618.962478,2.41853E-05,379.8490198,441.5087057,842.9423147,512.6408133,725.624863,,,,,
2021,,233.5321623,370.1333231,279.9845965,883.650082,,,798.970452,,,1618.908133,819.9376814,369.7064444,719.0970417,454.5030307,1055.707753,2599.01427,,,307.2376984,85.5477681,1.12407E-06,392.7854676,,474.1164659,1144.845988,,,1618.962478,2.41853E-05,519.4973583,648.4038184,1084.053428,624.93744,907.2334014,,,,,
2022,,274.8586282,468.6188266,286.0414673,1029.518922,,,914.0879997,,,1524.847791,610.7597909,239.772035,791.3521099,521.9019324,1556.086266,3109.112343,,,350.6450081,85.81929995,0,436.464308,,492.8457311,1197.545658,,,1690.391559,0.000169964,540.1960784,797.3699805,1367.580196,,2165.718732,,,,,
